Quinta dos Avidagos,,Douro,Portugal,4/1/2018,4/1/2018,
Rainstorm,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
St. Julian,Lake Michigan Shore,Michigan,US,4/1/2018,4/1/2018,
Sweet Cheeks,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Tandem,Navarra,Northern Spain,Spain,4/1/2018,4/1/2018,
Terre di Giurfo,Vittoria,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Trimbach,Alsace,Alsace,France,4/1/2018,4/1/2018,
Heinz Eifel,,Rheinhessen,Germany,4/1/2018,4/1/2018,
Jean-Baptiste Adam,Alsace,Alsace,France,4/1/2018,4/1/2018,
Kirkland Signature,Napa Valley,California,US,4/1/2018,4/1/2018,
Leon Beyer,Alsace,Alsace,France,4/1/2018,4/1/2018,
Louis M. Martini,Alexander Valley,California,US,4/1/2018,4/1/2018,
Masseria Setteporte,Etna,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Mirassou,Central Coast,California,US,4/1/2018,4/1/2018,
Richard Böcking,,Mosel,Germany,4/1/2018,4/1/2018,
Felix Lavaque,Cafayate,Other,Argentina,4/1/2018,4/1/2018,
Gaucho Andino,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Pradorey,Ribera del Duero,Northern Spain,Spain,4/1/2018,4/1/2018,
Quiévremont,Virginia,Virginia,US,4/1/2018,4/1/2018,
Acrobat,Oregon,Oregon,US,4/1/2018,4/1/2018,
Baglio di Pianetto,Sicilia,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Bianchi,Paso Robles,California,US,4/1/2018,4/1/2018,
Canicattì,Sicilia,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Castello di Amorosa,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Stemmari,Terre Siciliane,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Terre di Giurfo,Cerasuolo di Vittoria,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Clarksburg Wine Company,Clarksburg,California,US,4/1/2018,4/1/2018,
Domaine de la Madone,Beaujolais-Villages,Beaujolais,France,4/1/2018,4/1/2018,
Duca di Salaparuta,Sicilia,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Envolve,Dry Creek Valley,California,US,4/1/2018,4/1/2018,
Envolve,Sonoma Valley,California,US,4/1/2018,4/1/2018,
Erath,McMinnville,Oregon,US,4/1/2018,4/1/2018,
Estampa,,Colchagua Valley,Chile,4/1/2018,4/1/2018,
Feudi del Pisciotto,Sicilia,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Feudi di San Marzano,Puglia,Southern Italy,Italy,4/1/2018,4/1/2018,
Feudo di Santa Tresa,Sicilia,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Feudo Montoni,Sicilia,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Hawkins Cellars,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Henry Fessy,Beaujolais,Beaujolais,France,4/1/2018,4/1/2018,
Robert Hall,Paso Robles,California,US,4/1/2018,4/1/2018,
Sundance,,Maule Valley,Chile,4/1/2018,4/1/2018,
Tarara,Virginia,Virginia,US,4/1/2018,4/1/2018,
Tasca d'Almerita,Sicilia,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
The White Knight,Lake County,California,US,4/1/2018,4/1/2018,
Trump,Monticello,Virginia,US,4/1/2018,4/1/2018,
Vignerons de Bel Air,Brouilly,Beaujolais,France,4/1/2018,4/1/2018,
Viticultori Associati Canicatti,Sicilia,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Casa Silva,,Colchagua Valley,Chile,4/1/2018,4/1/2018,
Cantine di Dolianova,Monica di Sardegna,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Château de Sours,Bordeaux Blanc,Bordeaux,France,4/1/2018,4/1/2018,
Corvo,Sicilia,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
RustRidge,Napa Valley,California,US,4/1/2018,4/1/2018,
Souverain,North Coast,California,US,4/1/2018,4/1/2018,
Tres Palacios,,Maipo Valley,Chile,4/1/2018,4/1/2018,
Mellisoni,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Okapi,Napa Valley,California,US,4/1/2018,4/1/2018,
Podere dal Nespoli,Romagna,Central Italy,Italy,4/1/2018,4/1/2018,
Ram,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Roland Champion,Champagne,Champagne,France,4/1/2018,4/1/2018,
Sevtap,Santa Ynez Valley,California,US,4/1/2018,4/1/2018,
Simonnet-Febvre,Chablis,Burgundy,France,4/1/2018,4/1/2018,
Vignerons des Terres Secrètes,Mâcon-Milly Lamartine,Burgundy,France,4/1/2018,4/1/2018,
Basel Cellars,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Cocobon,California,California,US,4/1/2018,4/1/2018,
Collet,Champagne,Champagne,France,4/1/2018,4/1/2018,
Drumheller,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Eco Terreno,Alexander Valley,California,US,4/1/2018,4/1/2018,
Grifalco,Aglianico del Vulture,Southern Italy,Italy,4/1/2018,4/1/2018,
Hindsight,Howell Mountain,California,US,4/1/2018,4/1/2018,
Hindsight,Calistoga,California,US,4/1/2018,4/1/2018,
Mulvane Wine Co.,Napa Valley,California,US,4/1/2018,4/1/2018,
Schmitt Söhne,,Rheinhessen,Germany,4/1/2018,4/1/2018,
Yalumba,South Australia,South Australia,Australia,4/1/2018,4/1/2018,
Z'IVO,Eola-Amity Hills,Oregon,US,4/1/2018,4/1/2018,
Adega Cooperativa do Cartaxo,,Tejo,Portugal,4/1/2018,4/1/2018,
Aresti,,Rapel Valley,Chile,4/1/2018,4/1/2018,
Spyro,Rías Baixas,Galicia,Spain,4/1/2018,4/1/2018,
Lionel Osmin & Cie,Vin de France,France Other,France,4/1/2018,4/1/2018,
Mitolo,McLaren Vale,South Australia,Australia,4/1/2018,4/1/2018,
Napa Cellars,Napa Valley,California,US,4/1/2018,4/1/2018,
P.J. Valckenberg,,Rheinhessen,Germany,4/1/2018,4/1/2018,
Palencia,Ancient Lakes,Washington,US,4/1/2018,4/1/2018,
Passaggio,Knights Valley,California,US,4/1/2018,4/1/2018,
Poggio Alloro,Vernaccia di San Gimignano,Tuscany,Italy,4/1/2018,4/1/2018,
Fattoria Sardi,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Ferrari-Carano,Sonoma County,California,US,4/1/2018,4/1/2018,
Folie à Deux,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Franciscan,Napa Valley,California,US,4/1/2018,4/1/2018,
Fuchs,,Burgenland,Austria,4/1/2018,4/1/2018,
Gård,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Henry Fessy,Juliénas,Beaujolais,France,4/1/2018,4/1/2018,
Henry Fessy,Régnié,Beaujolais,France,4/1/2018,4/1/2018,
Heron Hill,Finger Lakes,New York,US,4/1/2018,4/1/2018,
Serpaia di Endrizzi,Morellino di Scansano,Tuscany,Italy,4/1/2018,4/1/2018,
Soquel Vineyards,Napa Valley,California,US,4/1/2018,4/1/2018,
Ventosa,Finger Lakes,New York,US,4/1/2018,4/1/2018,
Lamoreaux Landing,Finger Lakes,New York,US,4/1/2018,4/1/2018,
Leyda,,Leyda Valley,Chile,4/1/2018,4/1/2018,
Madonna Alta,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Marchesi Antinori,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Marchesi de' Frescobaldi,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Martin Ranch,Santa Clara Valley,California,US,4/1/2018,4/1/2018,
Ornellaia,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Pardon et Fils,Brouilly,Beaujolais,France,4/1/2018,4/1/2018,
Piña,Yountville,California,US,4/1/2018,4/1/2018,
Podere Ciona,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Poggioventoso,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Pull,Paso Robles,California,US,4/1/2018,4/1/2018,
R2,Santa Ynez Valley,California,US,4/1/2018,4/1/2018,
Rideau,Central Coast,California,US,4/1/2018,4/1/2018,
Tenuta Forconi,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Dopff & Irion,Alsace,Alsace,France,4/1/2018,4/1/2018,
Ceretto,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Matrix,Alexander Valley,California,US,4/1/2018,4/1/2018,
Mauritson,Rockpile,California,US,4/1/2018,4/1/2018,
Henry's Drive Vignerons,Padthaway,South Australia,Australia,4/1/2018,4/1/2018,
Silverado,Napa Valley,California,US,4/1/2018,4/1/2018,
Le Riche,,Stellenbosch,South Africa,4/1/2018,4/1/2018,
Pierre Sparr,Alsace,Alsace,France,4/1/2018,4/1/2018,
Kuentz-Bas,Alsace,Alsace,France,4/1/2018,4/1/2018,
Camberley,,Stellenbosch,South Africa,4/1/2018,4/1/2018,
Delheim,,Simonsberg-Stellenbosch,South Africa,4/1/2018,4/1/2018,
Poderi Luigi Einaudi,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Clark-Clauden,Napa Valley,California,US,4/1/2018,4/1/2018,
Giacomo Ascheri,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Lassègue,Saint-Émilion,Bordeaux,France,4/1/2018,4/1/2018,
Beaumont,,Walker Bay,South Africa,4/1/2018,4/1/2018,
Poderi Colla,Barbera d'Alba,Piedmont,Italy,4/1/2018,4/1/2018,
Banyan,Santa Lucia Highlands,California,US,4/1/2018,4/1/2018,
Domaine Zind-Humbrecht,Alsace,Alsace,France,4/1/2018,4/1/2018,
Terra Valentine,Spring Mountain District,California,US,4/1/2018,4/1/2018,
Testarossa,Santa Lucia Highlands,California,US,4/1/2018,4/1/2018,
Vincent Vineyards,Santa Ynez Valley,California,US,4/1/2018,4/1/2018,
Weingut Liebfrauenstift,,Rheinhessen,Germany,4/1/2018,4/1/2018,
Wrath,Monterey,California,US,4/1/2018,4/1/2018,
Yardstick,Napa Valley,California,US,4/1/2018,4/1/2018,
Herdade Grande,,Alentejano,Portugal,4/1/2018,4/1/2018,
Albatross Ridge,Carmel Valley,California,US,4/1/2018,4/1/2018,
Alta Colina,Paso Robles,California,US,4/1/2018,4/1/2018,
Marques de Griñon,Dominio de Valdepusa,Central Spain,Spain,4/1/2018,4/1/2018,
Big Basin,Santa Cruz Mountains,California,US,4/1/2018,4/1/2018,
Carl Graff,,Mosel,Germany,4/1/2018,4/1/2018,
Casa Santa Vitória,,Alentejano,Portugal,4/1/2018,4/1/2018,
Castello di Gabbiano,Chianti Classico,Tuscany,Italy,4/1/2018,4/1/2018,
Castello Romitorio,Brunello di Montalcino,Tuscany,Italy,4/1/2018,4/1/2018,
Château Vincens,Cahors,Southwest France,France,4/1/2018,4/1/2018,
