name,province,region,country
Nicosia,Sicily & Sardinia,Etna,Italy
Quinta dos Avidagos,Douro,,Portugal
Rainstorm,Oregon,Willamette Valley,US
St. Julian,Michigan,Lake Michigan Shore,US
Sweet Cheeks,Oregon,Willamette Valley,US
Tandem,Northern Spain,Navarra,Spain
Terre di Giurfo,Sicily & Sardinia,Vittoria,Italy
Trimbach,Alsace,Alsace,France
Heinz Eifel,Rheinhessen,,Germany
Jean-Baptiste Adam,Alsace,Alsace,France
Kirkland Signature,California,Napa Valley,US
Leon Beyer,Alsace,Alsace,France
Louis M. Martini,California,Alexander Valley,US
Masseria Setteporte,Sicily & Sardinia,Etna,Italy
Mirassou,California,Central Coast,US
Richard Böcking,Mosel,,Germany
Felix Lavaque,Other,Cafayate,Argentina
Gaucho Andino,Mendoza Province,Mendoza,Argentina
Pradorey,Northern Spain,Ribera del Duero,Spain
Quiévremont,Virginia,Virginia,US
Acrobat,Oregon,Oregon,US
Baglio di Pianetto,Sicily & Sardinia,Sicilia,Italy
Bianchi,California,Paso Robles,US
Canicattì,Sicily & Sardinia,Sicilia,Italy
Castello di Amorosa,California,Sonoma Coast,US
Stemmari,Sicily & Sardinia,Terre Siciliane,Italy
Terre di Giurfo,Sicily & Sardinia,Cerasuolo di Vittoria,Italy
Clarksburg Wine Company,California,Clarksburg,US
Domaine de la Madone,Beaujolais,Beaujolais-Villages,France
Duca di Salaparuta,Sicily & Sardinia,Sicilia,Italy
Envolve,California,Dry Creek Valley,US
Envolve,California,Sonoma Valley,US
Erath,Oregon,McMinnville,US
Estampa,Colchagua Valley,,Chile
Feudi del Pisciotto,Sicily & Sardinia,Sicilia,Italy
Feudi di San Marzano,Southern Italy,Puglia,Italy
Feudo di Santa Tresa,Sicily & Sardinia,Sicilia,Italy
Feudo Montoni,Sicily & Sardinia,Sicilia,Italy
Hawkins Cellars,Oregon,Willamette Valley,US
Henry Fessy,Beaujolais,Beaujolais,France
Robert Hall,California,Paso Robles,US
Sundance,Maule Valley,,Chile
Tarara,Virginia,Virginia,US
Tasca d'Almerita,Sicily & Sardinia,Sicilia,Italy
The White Knight,California,Lake County,US
Trump,Virginia,Monticello,US
Vignerons de Bel Air,Beaujolais,Brouilly,France
Viticultori Associati Canicatti,Sicily & Sardinia,Sicilia,Italy
Casa Silva,Colchagua Valley,,Chile
Cantine di Dolianova,Sicily & Sardinia,Monica di Sardegna,Italy
Château de Sours,Bordeaux,Bordeaux Blanc,France
Corvo,Sicily & Sardinia,Sicilia,Italy
RustRidge,California,Napa Valley,US
Souverain,California,North Coast,US
Tres Palacios,Maipo Valley,,Chile
Mellisoni,Washington,Columbia Valley (WA),US
Okapi,California,Napa Valley,US
Podere dal Nespoli,Central Italy,Romagna,Italy
Ram,Washington,Columbia Valley (WA),US
Roland Champion,Champagne,Champagne,France
Sevtap,California,Santa Ynez Valley,US
Simonnet-Febvre,Burgundy,Chablis,France
Vignerons des Terres Secrètes,Burgundy,Mâcon-Milly Lamartine,France
Basel Cellars,Washington,Columbia Valley (WA),US
Cocobon,California,California,US
Collet,Champagne,Champagne,France
Drumheller,Washington,Columbia Valley (WA),US
Eco Terreno,California,Alexander Valley,US
Grifalco,Southern Italy,Aglianico del Vulture,Italy
Hindsight,California,Howell Mountain,US
Hindsight,California,Calistoga,US
Mulvane Wine Co.,California,Napa Valley,US
Schmitt Söhne,Rheinhessen,,Germany
Yalumba,South Australia,South Australia,Australia
Z'IVO,Oregon,Eola-Amity Hills,US
Adega Cooperativa do Cartaxo,Tejo,,Portugal
Aresti,Rapel Valley,,Chile
Spyro,Galicia,Rías Baixas,Spain
Lionel Osmin & Cie,France Other,Vin de France,France
Mitolo,South Australia,McLaren Vale,Australia
Napa Cellars,California,Napa Valley,US
P.J. Valckenberg,Rheinhessen,,Germany
Palencia,Washington,Ancient Lakes,US
Passaggio,California,Knights Valley,US
Poggio Alloro,Tuscany,Vernaccia di San Gimignano,Italy
Fattoria Sardi,Tuscany,Toscana,Italy
Ferrari-Carano,California,Sonoma County,US
Folie à Deux,California,Sonoma Coast,US
Franciscan,California,Napa Valley,US
Fuchs,Burgenland,,Austria
Gård,Washington,Columbia Valley (WA),US
Henry Fessy,Beaujolais,Juliénas,France
Henry Fessy,Beaujolais,Régnié,France
Heron Hill,New York,Finger Lakes,US
Serpaia di Endrizzi,Tuscany,Morellino di Scansano,Italy
Soquel Vineyards,California,Napa Valley,US
Ventosa,New York,Finger Lakes,US
Lamoreaux Landing,New York,Finger Lakes,US
Leyda,Leyda Valley,,Chile
