taster_name,taster_twitter_handle
Kerin Oâ€™Keefe,@kerinokeefe
Roger Voss,@vossroger
Paul Gregutt,@paulgwineÂ 
Alexander Peartree,
Paul Gregutt,@paulgwineÂ 
Michael Schachner,@wineschach
Kerin Oâ€™Keefe,@kerinokeefe
Roger Voss,@vossroger
Anna Lee C. Iijima,
Roger Voss,@vossroger
Virginie Boone,@vboone
Roger Voss,@vossroger
Virginie Boone,@vboone
Kerin Oâ€™Keefe,@kerinokeefe
Matt Kettmann,@mattkettmann
Anna Lee C. Iijima,
Michael Schachner,@wineschach
Michael Schachner,@wineschach
Michael Schachner,@wineschach
Alexander Peartree,
Alexander Peartree,
Paul Gregutt,@paulgwineÂ 
Kerin Oâ€™Keefe,@kerinokeefe
Matt Kettmann,@mattkettmann
Kerin Oâ€™Keefe,@kerinokeefe
Virginie Boone,@vboone
Kerin Oâ€™Keefe,@kerinokeefe
Kerin Oâ€™Keefe,@kerinokeefe
Kerin Oâ€™Keefe,@kerinokeefe
Virginie Boone,@vboone
Roger Voss,@vossroger
,
,
,
,
Paul Gregutt,@paulgwineÂ 
Michael Schachner,@wineschach
,
,
,
,
Paul Gregutt,@paulgwineÂ 
Roger Voss,@vossroger
,
Michael Schachner,@wineschach
,
,
,
,
Roger Voss,@vossroger
,
Michael Schachner,@wineschach
,
Roger Voss,@vossroger
,
,
Virginie Boone,@vboone
,
Michael Schachner,@wineschach
Sean P. Sullivan,@wawinereport
Virginie Boone,@vboone
Kerin Oâ€™Keefe,@kerinokeefe
Sean P. Sullivan,@wawinereport
Roger Voss,@vossroger
Matt Kettmann,@mattkettmann
Roger Voss,@vossroger
Roger Voss,@vossroger
Sean P. Sullivan,@wawinereport
Jim Gordon,@gordone_cellars
Roger Voss,@vossroger
Sean P. Sullivan,@wawinereport
Virginie Boone,@vboone
Kerin Oâ€™Keefe,@kerinokeefe
Virginie Boone,@vboone
Virginie Boone,@vboone
Virginie Boone,@vboone
Anna Lee C. Iijima,
Joe Czerwinski,@JoeCz
Paul Gregutt,@paulgwineÂ 
Roger Voss,@vossroger
Michael Schachner,@wineschach
Michael Schachner,@wineschach
Roger Voss,@vossroger
Joe Czerwinski,@JoeCz
Virginie Boone,@vboone
Anna Lee C. Iijima,
Sean P. Sullivan,@wawinereport
Virginie Boone,@vboone
Kerin Oâ€™Keefe,@kerinokeefe
Kerin Oâ€™Keefe,@kerinokeefe
Virginie Boone,@vboone
Virginie Boone,@vboone
Virginie Boone,@vboone
Anne KrebiehlÂ MW,@AnneInVino
Sean P. Sullivan,@wawinereport
Roger Voss,@vossroger
Roger Voss,@vossroger
Anna Lee C. Iijima,
Kerin Oâ€™Keefe,@kerinokeefe
Virginie Boone,@vboone
Anna Lee C. Iijima,
Anna Lee C. Iijima,
Anna Lee C. Iijima,
Michael Schachner,@wineschach
Kerin Oâ€™Keefe,@kerinokeefe
Kerin Oâ€™Keefe,@kerinokeefe
Kerin Oâ€™Keefe,@kerinokeefe
Kerin Oâ€™Keefe,@kerinokeefe
Matt Kettmann,@mattkettmann
Kerin Oâ€™Keefe,@kerinokeefe
Roger Voss,@vossroger
Virginie Boone,@vboone
Kerin Oâ€™Keefe,@kerinokeefe
Kerin Oâ€™Keefe,@kerinokeefe
Matt Kettmann,@mattkettmann
Matt Kettmann,@mattkettmann
Matt Kettmann,@mattkettmann
Matt Kettmann,@mattkettmann
Kerin Oâ€™Keefe,@kerinokeefe
,
,
,
,
Joe Czerwinski,@JoeCz
,
Roger Voss,@vossroger
,
,
,
,
,
,
Roger Voss,@vossroger
,
,
,
Joe Czerwinski,@JoeCz
Roger Voss,@vossroger
,
,
,
,
,
,
Virginie Boone,@vboone
Matt Kettmann,@mattkettmann
Matt Kettmann,@mattkettmann
Matt Kettmann,@mattkettmann
Anna Lee C. Iijima,
Matt Kettmann,@mattkettmann
Virginie Boone,@vboone
Roger Voss,@vossroger
Matt Kettmann,@mattkettmann
Matt Kettmann,@mattkettmann
Michael Schachner,@wineschach
Matt Kettmann,@mattkettmann
Anna Lee C. Iijima,
Roger Voss,@vossroger
Kerin Oâ€™Keefe,@kerinokeefe
Kerin Oâ€™Keefe,@kerinokeefe
Roger Voss,@vossroger
Matt Kettmann,@mattkettmann
Matt Kettmann,@mattkettmann
Roger Voss,@vossroger
Michael Schachner,@wineschach
Michael Schachner,@wineschach
Roger Voss,@vossroger
Matt Kettmann,@mattkettmann
Virginie Boone,@vboone
Virginie Boone,@vboone
Anna Lee C. Iijima,
Anna Lee C. Iijima,
Michael Schachner,@wineschach
Paul Gregutt,@paulgwineÂ 
Joe Czerwinski,@JoeCz
,
Michael Schachner,@wineschach
,
,
Roger Voss,@vossroger
,
,
,
Michael Schachner,@wineschach
,
Michael Schachner,@wineschach
,
,
Michael Schachner,@wineschach
Michael Schachner,@wineschach
,
Joe Czerwinski,@JoeCz
,
Roger Voss,@vossroger
,
,
,
Lauren Buzzeo,@laurbuzz
Virginie Boone,@vboone
Jim Gordon,@gordone_cellars
Kerin Oâ€™Keefe,@kerinokeefe
Kerin Oâ€™Keefe,@kerinokeefe
Mike DeSimone,@worldwineguys
Roger Voss,@vossroger
Matt Kettmann,@mattkettmann
Matt Kettmann,@mattkettmann
Virginie Boone,@vboone
Virginie Boone,@vboone
